ny,formation,1200,42.209774,-79.466844
ny,circle,900,42.2669444,-79.7108333
mn,flash,900,44.295,-93.2686111
oh,light,7200,40.7583333,-82.5155556
mo,light,60,38.9516667,-92.3338889
wi,sphere,3000,45.3088889,-89.4963889
wa,other,60,47.6063889,-122.3308333
az,other,30,33.415,-111.5488889
fl,oval,1800,25.9327778,-80.1627778
ca,egg,10,34.0522222,-118.2427778
pa,triangle,300,40.5030556,-78.6305556
,formation,360,52.516667,-3.3
tn,unknown,240,35.4491667,-86.7888889
fl,other,3600,25.9327778,-80.1627778
wa,light,1200,47.4158333,-120.2919444
nc,light,600,35.3186111,-82.4611111
mn,disk,300,46.3580556,-94.2005556
tx,diamond,3600,31.1911111,-95.2352778
ca,triangle,600,37.775,-122.4183333
ga,unknown,10,34.8761111,-83.9583333
tn,light,600,35.2247222,-88.2491667
va,triangle,600,38.0683333,-78.8897222
ar,fireball,2,35.20105,-91.831833
ok,other,360,34.6377778,-97.8172222
,formation,120,50.396389,-4.138611
ga,light,120,31.2133333,-82.3541667
tx,disk,300,33.5058333,-102.0086111
oh,unknown,300,41.52,-81.4888889
or,light,14400,44.5366667,-122.9058333
ga,changing,3600,33.5441667,-84.2338889
co,changing,2700,39.7391667,-104.9841667
fl,sphere,30,30.3319444,-81.6558333
ca,oval,600,33.7205556,-116.2147222
ny,triangle,10800,42.1033333,-76.2625
pa,circle,120,40.0063889,-75.7036111
tx,flash,3,30.2669444,-97.7427778
ga,sphere,60,33.5394444,-83.8194444
fl,fireball,180,26.705621,-80.03643
ga,unknown,3600,33.6675,-84.0177778
fl,unknown,30,27.6383333,-80.3975
fl,oval,120,27.2541667,-80.23
tx,formation,35,29.7630556,-95.3630556
mn,light,600,46.7833333,-92.1063889
co,circle,600,40.68,-102.8388889
pa,unknown,3600,41.1577778,-80.0888889
tx,other,4,33.4213889,-96.5769444
co,triangle,15,39.8855556,-104.9866667
,light,600,59.900209,5.282347
on,other,120,42.983333,-81.25
mn,light,300,45.5113889,-92.98
ny,circle,240,42.6291667,-73.865
nv,disk,600,40.7138889,-116.1030556
in,formation,600,37.9747222,-87.5558333
ny,oval,45,42.6525,-73.7566667
ca,triangle,60,37.5483333,-121.9875
az,triangle,900,32.7252778,-114.6236111
in,light,600,41.6833333,-86.25
mn,formation,10,43.8280556,-91.3038889
pa,unknown,120,40.516977,-80.221348
pa,oval,60,39.9522222,-75.1641667
wa,light,180,47.6063889,-122.3308333
co,light,300,38.2544444,-104.6086111
oh,oval,900,39.1619444,-84.4569444
ca,disk,30,32.7152778,-117.1563889
wi,circle,20,43.0730556,-89.4011111
oh,sphere,60,40.4797222,-84.6283333
co,egg,60,38.8697222,-106.9872222
ok,unknown,6,36.1538889,-95.9925
az,unknown,180,34.1111111,-109.2908333
va,unknown,900,36.7280556,-76.5838889
ca,light,300,33.8352778,-117.9136111
nc,light,600,34.2255556,-77.945
va,disk,300,39.1155556,-77.5638889
in,changing,900,41.7075,-86.895
ca,light,180,37.3230556,-122.0311111
ny,light,7200,42.7675,-78.7441667
pa,circle,240,40.2736111,-76.8847222
oh,circle,180,41.5930556,-81.5269444
sc,formation,600,34.3769444,-82.6958333
ct,light,240,41.0263889,-73.6288889
sc,light,180,32.8544444,-79.975
ca,triangle,300,37.615223,-122.389979
va,cigar,15,38.7891667,-77.1875
ct,light,600,41.1669444,-73.2052778
or,triangle,120,45.4077778,-122.5691667
tx,oval,60,31.4636111,-100.4366667
ct,fireball,5,41.8525,-72.6441667
il,cylinder,600,41.7886111,-89.6961111
wa,other,30,47.9791667,-122.2008333
az,disk,7200,35.8752778,-110.6197222
ny,circle,10,42.6525,-73.7566667
ca,egg,7200,33.7738889,-117.9405556
fl,changing,1200,25.7738889,-80.1938889
ny,triangle,7200,42.7283333,-73.6922222
nm,circle,300,36.7280556,-108.2180556
az,other,300,34.61,-112.315
ny,circle,60,42.0963889,-79.3758333
,oval,300,51.316667,-0.266667
ri,oval,40,41.55,-71.4666667
ct,disk,5,41.35,-72.0788889
ma,flash,2700,42.468164,-71.014118
va,light,300,37.6086111,-77.3736111
tn,,2700,35.947474,-86.488367
on,flash,4,43.25,-79.833333
ct,fireball,1200,41.5622222,-72.6511111
oh,fireball,60,41.4819444,-81.7983333
pa,circle,15,39.9625,-76.7280556
ne,circle,3,41.1238889,-100.765
oh,triangle,90,39.5297222,-84.0866667
ct,circle,630,41.1669444,-73.2052778
ca,triangle,300,37.615223,-122.389979
ca,sphere,240,32.7152778,-117.1563889
mi,oval,120,42.5802778,-83.0302778
ny,light,900,43.0480556,-76.1477778
ny,circle,240,43.0480556,-76.1477778
co,light,20,38.8338889,-104.8208333
al,changing,240,32.9975,-87.63
ny,disk,1800,40.7141667,-74.0063889
on,triangle,30,44.136076,-79.308339
nm,fireball,120,32.3122222,-106.7777778
il,light,240,37.7305556,-88.9330556
ca,other,6,37.3394444,-121.8938889
az,sphere,300,33.4483333,-112.0733333
wa,light,240,46.6022222,-120.5047222
tx,changing,1200,30.2669444,-97.7427778
tn,cigar,180,36.3436111,-83.2841667
wa,light,600,46.8219444,-123.095
ny,cylinder,20,41.1147222,-74.15
ca,rectangle,5,33.7397222,-116.4119444
nj,light,60,40.858433,-74.163755
fl,chevron,5,28.0777778,-82.7638889
ky,triangle,600,36.864209,-86.710273
mo,light,10800,38.6272222,-90.1977778
on,light,10,45.416667,-75.7
oh,light,60,40.9780556,-81.7822222
nb,light,120,45.716667,-67
vt,light,120,44.4905556,-73.1113889
la,circle,600,29.9938889,-90.2416667
oh,circle,300,39.7463889,-84.2866667
nh,light,5,42.7647222,-71.4402778
mi,light,1200,42.9275,-83.63
mn,circle,60,44.7791667,-93.3361111
mi,sphere,45,42.4775,-83.0277778
mi,triangle,180,42.3086111,-83.4822222
wv,triangle,45,39.1611111,-80.3522222
nh,light,1,42.7647222,-71.4402778
fl,egg,14400,26.9338889,-80.0944444
mi,circle,300,42.5294444,-83.7802778
,,20,-23.697479,133.883621
mn,light,30,44.9133333,-93.5030556
mo,fireball,60,38.3708333,-90.5002778
il,sphere,180,41.2455556,-89.9247222
il,sphere,300,41.2455556,-89.9247222
nm,sphere,900,35.0844444,-106.6505556
nj,triangle,300,39.7763889,-74.8627778
ca,chevron,4,33.9533333,-117.3952778
ny,,720,40.7141667,-74.0063889
wv,,120,38.4191667,-82.4452778
va,light,60,36.6336111,-81.7838889
,sphere,300,64.066667,-21.95
ca,other,3600,37.5422222,-122.515
pr,cigar,120,18.4463889,-66.3880556
tn,light,10,36.5452778,-82.6611111
in,sphere,14400,39.7944444,-87.3958333
me,sphere,30,44.3875,-68.2044444
ca,fireball,4,38.4088889,-121.3705556
al,light,180,32.3666667,-86.3
ca,light,300,34.0522222,-118.2427778
wi,unknown,120,45.124411,-92.673537
mi,oval,600,41.9438889,-85.6325
or,light,10,45.2630556,-122.6913889
on,disk,6,45.333333,-80.033333
ny,oval,30,42.0386111,-78.3411111
ny,oval,30,42.0386111,-78.3411111
ny,oval,60,42.0386111,-78.3411111
ny,oval,60,42.0386111,-78.3411111
mo,other,5400,36.6230556,-93.1638889
nv,cigar,2,40.9730556,-117.7347222
or,triangle,45,42.1947222,-122.7083333
ks,light,600,37.6866667,-96.9763889
tx,light,3600,30.3880556,-95.6961111
ar,light,900,36.4011111,-93.7377778
ky,disk,900,37.704344,-88.426757
il,disk,600,41.9316667,-87.9888889
,diamond,3,51.514125,-0.093689
ny,light,30,43.9747222,-75.9111111
ca,light,30,38.7138889,-121.4616667
,changing,240,52.75,-3.883333
ca,light,1500,33.9791667,-118.0319444
wi,light,10800,45.1244444,-92.6733333
ak,other,1800,64.8377778,-147.7163889
co,light,900,39.7391667,-104.9841667
ms,teardrop,300,31.2516667,-89.8375
ca,triangle,60,39.2191667,-121.06
oh,teardrop,300,40.7425,-84.1052778
mo,fireball,6,37.2152778,-93.2980556
nv,sphere,600,39.5297222,-119.8127778
ma,cylinder,300,42.1625,-71.0416667
tx,fireball,3,32.7833333,-96.8
ca,,172800,32.7152778,-117.1563889
mn,circle,5,43.6666667,-92.9744444
ny,egg,120,40.7141667,-74.0063889
ca,sphere,3,39.3280556,-120.1822222
ky,fireball,3,37.916104,-85.956247
mi,circle,40,43.4197222,-85.8
ne,cigar,2,41.492537,-99.901813
ca,light,600,38.7297222,-120.7975
co,unknown,10,40.0991667,-104.9366667
in,disk,180,39.1652778,-86.5263889
mo,chevron,600,39.0911111,-94.4152778
hi,triangle,3,21.3069444,-157.8583333
